term,freq,parts
SGC에너지주,97,SGC 에너지
외화자산합계,97,외화 자산 합계
현대오토에버,97,현대오토 에버
건축시공,97,건축 시공
보증기관,97,보증 기관
급여및기타단기종업원급여,97,급여 기타 단기 종업원
납입자본,97,납입 자본
계량항목,97,계량 항목
비계량항목,97,계량 항목
차감유동성장기부채,97,차감 유동 장기 부채
기타장기종업원급여조정,97,기타 장기 종업원 급여 조정
대출약정및기타신용관련부채,97,대출 약정 기타 신용 관련 부채
한국오므론헬스케어주,97,한국오므론헬스케어
관계기업등투자자산,97,관계 기업 투자 자산
신한은행시드니,97,신한은행 시드니
기말금융부채,96,기말 금융 부채
제소원고,96,제소 원고
통화스왑계약,96,통화 스왑 계약
최저일거래량,96,최저 거래량
온실가스배출량추정치,96,온실가스 배출량 추정
수권주식수주,96,수권 주식 수주
이행지급보증,96,이행 지급 보증
약정금액USDUSD일,96,약정 금액 USDUSD
맞춤형,96,맞춤
투자자예탁금별도예치금,96,투자자 예탁금 별도 예치금
연체율BA,96,연체 BA
유가증권평가손익,96,유가 증권 평가 손익
최종손해액추정치,96,최종 손해액 추정
유출액,96,유출
처분전장부금액,96,처분 장부 금액
국내종속기업,96,국내 종속 기업
제품평가충당금,96,제품 평가 충당금
보증내용,96,보증 내용
송도국제도시개발유,96,송도국제도시 개발
기초무형자산,96,기초 무형 자산
이자수익등,96,이자 수익
사용권자산토지,96,사용 자산 토지
바이탈포레자산관리주식회사,96,바이탈포레 자산 관리 주식회사
사용권자산부동산,96,사용 자산 부동산
처분손실금융상품,96,처분 손실 금융 상품
에스티엠주,96,에스티엠
약정내용,96,약정 내용
SGI신용정보,96,SGI 신용 정보
분기말재보험자산,96,분기 보험 자산
분기말재보험부채,96,분기 보험 부채
주주임원종업원,96,주주 임원 종업원
부문감가상각비,96,부문 감가상각비
부동산임대업,96,부동산 임대업
위험회피평가손익,96,위험 회피 평가 손익
사외이사교육실시여부,95,사외 이사 교육 실시 여부
유형자산및사용권자산,95,유형 자산 사용
고객수,95,고객
국내계약자산,95,국내 계약 자산
해외계약자산,95,해외 계약 자산
증권예탁증권,95,증권 예탁
파생형,95,파생
종업원관련비용,95,종업원 관련 비용
계약상출자약정금액,95,계약 출자 약정 금액
현금및현금성자산C,95,현금 자산
환율변동손익,95,환율 변동 손익
서치플랫폼,95,서치 플랫폼
투자부동산평가이익,95,투자 부동산 평가 이익
SK오앤에스주,95,SK 오앤에스주
세전금액,95,세전 금액
제1회사모채권형신종자본증권,95,사모 채권 신종 자본 증권
바기타,95,기타
디비에스은행,95,디비에스 은행
에스타이거에이치주,95,에스 타이거 에이치
서울보증보험등,95,서울 보증 보험
한전기술서비스주,95,한전 기술 서비스
미국달러원,94,미국 달러
돈돈팜주,94,돈돈팜
차입금액,94,차입 금액
기타특수관계자합계,94,기타 특수 관계자 합계
전체관계기업투자금액합계,94,전체 관계 기업 투자 금액 합계
기초이익잉여금,94,기초 이익 잉여금
V이익잉여금,94,이익 잉여금
매출등특수관계자거래,94,매출 특수 관계자 거래
투자영업비용,94,투자 영업 비용
기타비금융자산,94,기타 금융 자산
가득요건,94,가득 요건
IV영업외손익,94,IV 영업 손익
매도공정가치측정부채,94,매도 공정 가치 측정 부채
재고자산감모손실,94,재고 자산 손실
차환자금,94,차환 자금
원금상환방법,94,원금 상환 방법
환율변동등,94,환율 변동
비철금속수출입,94,비철금속 수출입
미실현이자수익,94,실현 이자 수익
차입금유동성포함,94,차입금 유동 포함
기초수량,94,기초 수량
제2회공모채권형신종자본증권,94,공모 채권 신종 자본 증권
III이익잉여금,94,III 이익 잉여금
미래에셋청년창업투자조합2호,94,미래에셋 청년 창업 투자 조합
상품선도,94,상품 선도
파생금융상품평가손실,94,파생 금융 상품 평가 손실
수취보험료,94,수취 보험료
외화관련이익,94,외화 관련 이익
일반자금대출약정,94,일반 자금 대출 약정
공정가치위험회피회계,94,공정 가치 위험 회피 회계
현금흐름위험회피회계,94,현금 흐름 위험 회피 회계
비용수익조정사항,94,비용 수익 조정 사항
차감후잔액,94,차감 잔액
미사용세무상결손금,93,사용 세무 결손
은행차입금미할인현금흐름,93,은행 차입금 할인 현금 흐름
행사자,93,행사
판관비,93,판관
지배기업주주지분,93,지배 기업 주주 지분
보험금융이자수익,93,보험 금융 이자 수익
해지율하락,93,해지 하락
확정급여제도,93,확정 급여 제도
전기말및전기,93,전기
신재생에너지부문,93,재생 에너지 부문
합병차익,93,합병 차익
배당금수령,93,배당금 수령
장단기미수금,93,단기 미수금
권기성,93,
거래금액,93,거래 금액
금전신탁합계,93,금전 신탁 합계
5기타포괄손익누계액,93,기타 포괄 손익 누계
미래에셋글로벌투자조합,93,미래에셋 글로벌 투자 조합
삼성화재서비스손해사정주,93,삼성화재 서비스 손해 사정
삼성화재애니카손해사정주,93,삼성화재 애니카 손해 사정
관계기업기타포괄손익지분,93,관계 기업 기타 포괄 손익 지분
비유동미수수익,93,유동 미수 수익
기타포괄손익인식보험금융손익,93,기타 포괄 손익 인식 보험 금융
기타기술용역,93,기타 기술 용역
콘텐츠부문,93,콘텐츠 부문
외화표시고정금리부사채,93,외화 표시 고정 금리부 사채
효성중공업주진흥기업,93,효성 중공업 진흥기업
개발비등,92,개발비
전체공동기업,92,전체 공동 기업
장기차입금미할인현금흐름,92,장기 차입금 할인 현금 흐름
주가매출액비율측정투입변수,92,주가 매출액 비율 측정 투입 변수
대상기간,92,대상 기간
상계액,92,상계
비유동확정계약부채,92,유동 확정 계약 부채
지급보증액,92,지급 보증
할인발행차금,92,할인 발행 차금
매출채권및기타수취채권,92,매출 채권 기타 수취
리스부채상환액,92,리스 부채 상환액
기말자본금,92,기말 자본금
변액연금,92,연금
총액결제파생상품수취현금흐름,92,총액 결제 파생 상품 수취 현금 흐름
총액결제파생상품지급현금흐름,92,총액 결제 파생 상품 지급 현금 흐름
원화발행사채,92,원화 발행 사채
출재보험계약,92,출재 보험 계약
매입액,92,매입
단기임차보증금,92,단기 임차 보증금
일반외화대출,92,일반 외화 대출
사채합계,92,사채 합계
배당률,92,배당
채무면제이익,92,채무 면제 이익
기타자산손상차손,92,기타 자산 손상
확정기여형퇴직급여비용,92,확정 기여 퇴직 급여 비용
주식선택권단위주,92,주식 선택 단위
투자자산처분손실,92,투자 자산 처분 손실
투자유가증권처분손실,92,투자 유가 증권 처분 손실
송산산업단지개발주,92,송산 산업 단지 개발
미청구공사변동,92,청구 공사 변동
제한내용,92,제한 내용
회계처리내역,92,회계 처리 내역
기타환율변동등,92,기타 환율 변동
위험률,92,위험
당좌대출Intraday,92,당좌 대출 Intraday
퇴직률,92,퇴직
대손준비금전입예정금액,92,대손 준비금 전입 예정 금액
당기손익인식분,92,당기 손익 인식
기타포괄손익인식분,92,기타 포괄 손익 인식
환매지연신탁상품,92,환매 지연 신탁 상품
주씨티씨,92,주씨티
기타금융부채주2,92,기타 금융 부채
기타금융부채파생상품부채,92,기타 금융 부채 파생 상품
미연체,92,연체
우리금융에프앤아이주식회사,92,우리금융에프앤아이 주식회사
제주비전벤처투자조합제1호,92,제주 비전 벤처 투자 조합
황유지,92,유지
우선주희석주당이익,91,우선주 희석 이익
보통주기본주당이익손실단위원,91,보통주 기본 이익 손실 위원
지분법이익손실,91,지분 이익 손실
평가방법,91,평가 방법
기타포괄공정가치측정금융자산,91,기타 포괄 공정 가치 측정 금융 자산
주식형집합투자기구,91,주식 집합 투자 기구
기업금융부문,91,기업 금융 부문
매매수수료,91,매매 수수료
유동성자산,91,유동 자산
정기적금,91,정기 적금
도매및소매업,91,도매 소매업
교환사채교환권대가,91,교환 사채 대가
주식회사LG스포츠,91,주식회사 LG 스포츠
3개월초과6개월이내,91,개월 초과 이내
5GUSIM요금제,91,GUSIM 요금
주식회사오디언소리,91,주식회사오디언 소리
주식회사인터비즈,91,주식회사 인터 비즈
처분손익당기손익,91,처분 손익 당기
유형자산취득관련미지급금증감,91,유형 자산 취득 관련 지급금 증감
차량및운반구,91,차량 운반
SK렌터카주,91,SK 렌터카
대손상각환입,91,대손 상각
원재료매입액,91,원재료 매입
당기손익공정가치측정항목,91,당기 손익 공정 가치 측정 항목
주식회사에이아이피안성,91,주식회사에이아이피 안성
보고부문자산,91,보고 부문 자산
보고부문부채,91,보고 부문 부채
무배당,91,배당
손실부담계약집합,91,손실 부담 계약 집합
재보험계약금융손익,91,보험 계약 금융 손익
국민은행등,91,국민은행
부문세전이익,91,부문 세전 이익
하나벤처스4호신기술투자조합,91,하나벤처스 기술 투자 조합
하나벤처스6호신기술투자조합,91,하나벤처스 기술 투자 조합
하나벤처스7호신기술투자조합,91,하나벤처스 기술 투자 조합
리스료지급,91,리스료 지급
보통주희석주당이익단위원,90,보통주 희석 이익 단위
배당우선전환주식,90,배당 우선 전환 주식
배당우선상환주식,90,배당 우선 상환 주식
기본주당손익단위원,90,기본 손익 단위
기본주당손익,90,기본 손익
케이비에스제이관광벤처조합,90,케이비에스제이 관광 벤처 조합
금융선물,90,금융 선물
비관측변수추정범위,90,관측 변수 추정 범위
담보제공사유,90,담보 제공 사유
잔여보장부채와발생사고부채,90,잔여 보장 부채 발생 사고
색조화장품,90,색조 화장품
현금출자출자금회수,90,현금 출자 출자금 회수
국내법인,90,국내 법인
손익인식,90,손익 인식
파생상품평가손익조정,90,파생 상품 평가 손익 조정
해외사업장환산손익,90,해외 사업장 환산 손익
교환가액조정사항,90,교환 가액 조정 사항
SK스퀘어,90,SK 스퀘어
단기금융상품부채,90,단기 금융 상품 부채
망포역세권개발피에프브이주,90,망포역세권개발피에프브이
인수및주선수수료,90,인수 주선 수수료
집합투자증권취급수수료,90,집합 투자 증권 취급 수수료
미달러옵션,90,달러 옵션
엠에이평택주식회사,90,엠에이 평택 주식회사
페타파워주식회사,90,페타 파워 주식회사
금융상품분류,90,금융 상품 분류
미래에셋AI투자조합1호,90,미래에셋 AI 투자 조합
법인명채무자,90,법인 채무자
위험회피대상관련손실,90,위험 회피 대상 관련 손실
유니온기술금융투자조합,90,유니온 기술 금융 투자 조합
피씨씨우리LP지분유동화펀드,90,피씨씨우리 LP 지분 유동 펀드
이자율스왑USD,90,이자 스왑 USD
기타단기금융부채,90,기타 단기 금융 부채
주식회사스타필드안성,90,주식회사스타필드 안성
카카오인베스트먼트,90,카카오 인베스트먼트
투유드림,90,투유 드림
항공부문,90,항공 부문
물류부문,90,물류 부문
발주자등,90,발주
기타포괄손익누적액합계,89,기타 포괄 손익 누적 합계
HD현대,89,HD 현대
수입담보금,89,수입 담보
금전채권신탁,89,금전 채권 신탁
장기재물기타,89,장기 재물 기타
금융자산유형,89,금융 자산 유형
계약체결목적,89,계약 체결 목적
비유동성매출채권및기타채권,89,유동 매출 채권 기타
판매보증충당부채전입,89,판매 보증 충당 부채 전입
전기이월이익잉여금,89,전기 이월 이익 잉여금
네이버웹툰컴퍼니주식회사,89,네이버 웹툰 컴퍼니 주식회사
유동부가세대급금,89,유동 부가세
주당금액,89,금액
탠저린제1호사모투자합자회사,89,탠저린 사모 투자 합자 회사
환경신기술,89,환경 기술
부여근거및절차,89,부여 근거 절차
단순자기자본비율,89,단순 자기 자본 비율
처분이익금융상품,89,처분 이익 금융 상품
비특수관계자,89,특수 관계자
기업운전일반자금대출,89,기업 운전 일반 자금 대출
경기네오플럭스슈퍼맨투자조합,89,경기네오플럭스 슈퍼 투자 조합
뉴웨이브제6호투자조합,89,뉴 웨이브 투자 조합
신한네오소재부품장비투자조합,89,신한네오 소재 부품 장비 투자 조합
리치게이트신반포주,89,리치게이트신반포
박순재,89,박순
한국남동발전주,89,한국남동발전
운송보관비,89,운송 보관
한화투자증권주,89,한화투자증권
통화선도자산,89,통화 선도 자산
대한통운에스비주,88,대한통운 에스
삼해상사주,88,삼해상사
KDB산업은행외,88,KDB 산업은행
기초계약잔액,88,기초 계약 잔액
차감항목,88,차감 항목
마감환율,88,마감 환율
은행차입금,88,은행 차입금
차상위지배기업,88,차상위 지배 기업
코스닥시장상장,88,코스닥 시장 상장
IV기타포괄손익누계액,88,IV 기타 포괄 손익 누계
복합금융상품,88,복합 금융 상품
총자산순이익률ROA,88,총자산 순이익 ROA
채권형집합투자기구,88,채권 집합 투자 기구
혼합형집합투자기구,88,혼합 집합 투자 기구
업무용토지,88,업무 토지
조정자기자본A,88,조정 자기 자본
제12회신종자본증권,88,신종 자본 증권
김민철,88,김민
주LG화학,88,LG 화학
네이버핸즈주식회사,88,네이버핸즈 주식회사
엔테크서비스주식회사,88,테크 서비스 주식회사
디자인프레스주식회사,88,디자인프레스 주식회사
지급기한,88,지급 기한
해비치컨트리클럽,88,해비치 컨트리클럽
출자특수관계자거래,88,출자 특수 관계자 거래
해외사업환산이익환입,88,해외 사업 환산 이익
시공보증,88,시공 보증
해외계약이행보증등,88,해외 계약 이행 보증
컨소시엄소계,88,컨소시엄
위험기준지급여력기준금액B,88,위험 기준 지급 여력 금액
위험기준지급여력비율AB,88,위험 기준 지급 여력 비율 AB
파생상품부채주1,88,파생 상품 부채
유가증권코스닥코넥스ELW,88,유가 증권 코스닥 코넥스 ELW
상여충당부채,88,상여 충당 부채
취급액기준,88,취급액 기준
재산관리비,88,재산 관리비
체결시기,88,체결 시기
외화관련손실,88,외화 관련 손실
에스타이거에이치디주,88,에스타이거에이치디
지아이비알비제일차주,88,지아이비알비제일차
원자재선물,88,원자재 선물
파생상품자산부채평가손실,88,파생 상품 자산 부채 평가 손실
파생상품자산부채평가이익,88,파생 상품 자산 부채 평가 이익
보통주배당,88,보통주 배당
매입채무및기타채무비유동,88,매입채무 기타 채무 유동
종속회사발행신종자본증권,88,종속 회사 발행 신종 자본 증권
부문자산총액,88,부문 자산 총액
부문무형자산상각비,88,부문 무형 자산 상각
매출연동비,88,매출 연동
방시혁,88,
에너지신사업,88,에너지 사업
해상풍력설치시스템,88,해상 풍력 설치 시스템
이전보고금액,87,이전 보고 금액
이자보상배율,87,이자 보상 배율
사채만기,87,사채 만기
미래임금인상률,87,미래 임금 인상
한도약정,87,한도 약정
부동산집합투자기구,87,부동산 집합 투자 기구
기타사업부문,87,기타 사업 부문
KB자산운용,87,KB 자산 운용
변액연금저축,87,연금 저축
해지율,87,해지
제23회회사채무보증공모,87,회사 채무 보증 공모
이자율스왑자산,87,이자 스왑 자산
외환차손및외화환산손실,87,환차손 외화 환산 손실
주요사항보고서제출일,87,주요 사항 보고서 제출
서비스탑주,87,서비스
SK쉴더스주,87,SK 쉴더스주
천마산터널주,87,천마산터널
기대배당수익률,87,기대 배당 수익
기관운영자금자체,87,기관 운영 자금 자체
제9회무보증사채,87,보증 사채
변경사업연도,87,변경 사업 연도
미래에셋청년창업투자조합3호,87,미래에셋 청년 창업 투자 조합
해지금융리스채권,87,해지 금융 리스 채권
에스퍼스트에이치디주,87,에스 퍼스트 에이치
리스거래이익,87,리스 거래 이익
상품매출부문,87,상품 매출 부문
카카오브이엑스,87,카카오 브이 엑스
카카오페이손해보험,87,카카오페이 손해 보험
부산항터미널주,86,부산항 터미널
당분기순이익,86,분기 순이익
기초금융부채,86,기초 금융 부채
대출유형,86,대출 유형
기금출연료,86,기금 출연료
위탁자산관리부문,86,위탁 자산 관리 부문
자산운용부문,86,자산 운용 부문
미래에셋모빌리티투자조합1호,86,미래에셋 모빌리티 투자 조합
리스부채유동성대체,86,리스 부채 유동 대체
제22회회사채무보증공모,86,회사 채무 보증 공모
현금흐름상환,86,현금 흐름 상환
위험합계,86,위험 합계
IV차기이월미처분이익잉여금,86,IV 차기 이월 처분 이익 잉여금
기말자기주식수,86,기말 자기 주식
기말자기주식수단위주,86,기말 자기 주식 수단 위주
기대주가변동성,86,기대 주가 변동
연차수당,86,연차 수당
현금출자특수관계자거래,86,현금 출자 특수 관계자 거래
약정금융기관,86,약정 금융 기관
기말잔여주,86,기말 잔여
A계약,86,계약
선급리스자산,86,리스 자산
트리플스페이스,86,트리플 스페이스
레드실버제일차주식회사,86,레드실버제일차 주식회사
포괄한도,86,포괄 한도
당기손익인식지정금융부채,86,당기 손익 인식 지정 금융 부채
불두제일차주식회사,86,불두제일차 주식회사
광고선전비및판매촉진비,86,광고 선전비 판매 촉진
플랫폼부문,86,플랫폼 부문
브라이언임팩트,86,브라이언 임팩트
비용합계,86,비용 합계
코람코경산물류피에프브이주,86,코람코경산물류피에프브이
무보증사모사채,85,보증 사모 사채
처분과폐기무형자산및영업권,85,처분 폐기 무형 자산 영업
해외사업환산손실,85,해외 사업 환산 손실
지급보증계약,85,지급 보증 계약
일반손해보험,85,일반 손해 보험
이항모형,85,이항 모형
지급보증한도,85,지급 보증 한도
물적분할,85,분할
단순합계,85,단순 합계
SG은행,85,SG 은행
기타환율변동효과등,85,기타 환율 변동 효과
변경일,85,변경
장기성미수금,85,장기 미수금
부여대상,85,부여 대상
조건부대출약정,85,조건 대출 약정
법적소송충당부채전입액,85,소송 충당 부채 전입
스템코주식회사,85,스템코 주식회사
지아이비수표주,85,지아이비 수표
외화평가,85,외화 평가
공정가치평가손익,85,공정 가치 평가 손익
통화스왑EUR,85,통화 스왑 EUR
IT서비스등,85,IT 서비스
이자율스왑계약,84,이자 스왑 계약
채무등,84,채무
주식합계,84,주식 합계
V영업이익,84,영업 이익
충당부채합계,84,충당 부채 합계
이자율변동,84,이자 변동
보증금유동,84,보증금 유동
가치평가기법부채,84,가치 평가 기법 부채
기타충당부채합계,84,기타 충당 부채 합계
지주회사,84,지주 회사
유동성비율AB,84,유동 비율 AB
매매목적파생금융상품2,84,매매 목적 파생 금융 상품
차감신종자본증권배당금지급,84,차감 신종 자본 증권 배당금 지급
미등기이사,84,등기 이사
기본자본계,84,기본 자본
미실현금융수익,84,실현 금융 수익
투자펀드,84,투자 펀드
주식기준보상비용,84,주식 기준 보상 비용
감소율,84,감소
CNY등,84,CNY
연구기관,84,연구 기관
은행예금및보유현금,84,은행 예금 보유 현금
제21회회사채무보증공모,84,회사 채무 보증 공모
취득유형자산,84,취득 유형 자산
방위산업부문,84,방위 산업 부문
주식회사그린웹서비스,84,주식회사 그린 서비스
매입채무및기타비유동채무합계,84,매입채무 기타 유동 채무 합계
건물부속설비,84,건물 부속 설비
철스크랩,84,스크랩
제152회무보증사채,84,보증 사채
단기선수금,84,단기 선수금
공급자금융약정단기차입금,84,공급자 금융 약정 단기 차입금
유보금,84,유보
기타지급보증우발부채1,84,기타 지급 보증 우발 부채
기초잔여주,84,기초 잔여
관계회사투자지분,84,관계 회사 투자 지분
일중거래자금,84,일중 거래 자금
당좌대출Overdraft,84,당좌 대출 Overdraft
대손충당금단기미청구공사,84,대손 충당금 단기 청구 공사
서비스비,84,서비스
누적추정보험금A,84,누적 추정 보험금
누적지급보험금B,84,누적 지급 보험금
기타F,84,기타
리스거래손실,84,리스 거래 손실
파생상품자산부채거래손실,84,파생 상품 자산 부채 거래 손실
파생상품자산부채거래이익,84,파생 상품 자산 부채 거래 이익
적정신용등급이상1,84,적정 신용 등급 이상
부문부채총액,84,부문 부채 총액
조석영,84,석영
한국신용데이터,84,한국 신용 데이터
이지트리제육차,84,이지 트리 제육
배출권제출,84,배출 제출
기타금융부채유동,84,기타 금융 부채 유동
유동기타채권,84,유동 기타 채권
충당자산,84,충당 자산
UBAF은행,84,UBAF 은행
인천내항부두운영주식회사,83,인천 내항 부두 운영 주식회사
만기일미도래,83,만기일 도래
기타재고,83,기타 재고
경과보험료,83,경과 보험료
박종성,83,
장해질병정액보상,83,장해 질병 정액 보상
신한은행등,83,신한은행
평가충당금,83,평가 충당금
카본케미컬,83,카본 케미컬
하바나제1호사모투자합자회사,83,하바나 사모 투자 합자 회사
퇴직금지급,83,퇴직금 지급
리스변경,83,리스 변경
메리츠엔에이치헬스케어제1호,83,메리츠엔에이치헬스케어
무배당사망,83,배당 사망
주하이업엔터테인먼트,83,하이 엔터테인먼트
주식회사우리금융저축은행,83,주식회사 우리금융 저축 은행
RENDE1SRL,83,RENDE SRL
디펜스솔루션부문,83,디펜스 솔루션 부문
뉴스타에이케이제일차주식회사,83,뉴스타에이케이제일차 주식회사
보통주기본주당이익단위원,82,보통주 기본 이익 단위
장기보증금자산,82,장기 보증금 자산
기타비금융변동,82,기타 금융 변동
우발부채항목,82,우발 부채 항목
가중범위,82,가중 범위
결제방식,82,결제 방식
파생상품부채유동,82,파생 상품 부채 유동
파생상품자산통화선도,82,파생 상품 자산 통화 선도
국민은행뉴욕지점,82,국민은행 뉴욕 지점
내부회계관리팀,82,내부 회계 관리
사용권자산손상차손환입,82,사용 자산 손상
저축보험,82,저축 보험
수익성,82,수익
퇴직보험료,82,퇴직 보험료
손익조정사항,82,손익 조정 사항
장기손해보험,82,장기 손해 보험
확정기여제도,82,확정 기여 제도
비유동보증금,82,유동 보증금
일반대출한도,82,일반 대출 한도
지배기업소유주지분당기순이익,82,지배 기업 소유주 지분 당기 순이익
기타유동채권합계,82,기타 유동 채권 합계
기타비유동채권합계,82,기타 유동 채권 합계
SK플래닛주,82,SK 플래닛
곽노정,82,노정
한국전기차충전서비스,82,한국 전기 충전 서비스
주식결제형종업원급여,82,주식 결제 종업원 급여
V상각후원가측정대출채권,82,상각 원가 측정 대출 채권
손해배상,82,손해 배상
삼성물산주등,82,삼성물산
추가적립예정액,82,추가 적립 예정
기본및희석주당이익,82,기본 희석 이익
주식선택권수량,82,주식 선택 수량
원화유동성자산,82,원화 유동 자산
에스타이거클린주,82,에스 타이거 클린
거래손익당기손익,82,거래 손익 당기
박종완,82,
카카오브레인,82,카카오 브레인
금융상품등,82,금융 상품
인공지능,82,인공 지능
씨제이대한통운비엔디주,81,씨제이대한통운비엔디
퇴직급여채무,81,퇴직 급여 채무
기타포괄손익공정가치평가손익,81,기타 포괄 손익 공정 가치 평가
종속기업취득,81,종속 기업 취득
보통주기본주당이익손실,81,보통주 기본 이익 손실
신한은행외,81,신한은행
보통주희석주당이익손실단위원,81,보통주 희석 이익 손실 위원
재평가,81,평가
공정가치측정금융자산평가손익,81,공정 가치 측정 금융 자산 평가 손익
투입변수부채,81,투입 변수 부채
III자본조정,81,III 자본 조정
출자지분,81,출자 지분
신용거래융자,81,신용 거래 융자
단자어음,81,단자 어음
회원수,81,회원
보증준비금,81,보증 준비금
상각후원가측정대출채권1,81,상각 원가 측정 대출 채권
당분기말및당분기,81,분기 당분
USD효과,81,USD 효과
외환차익및외화환산이익,81,외환 차익 외화 환산 이익
화학소재,81,화학 소재
에스케이하이닉스주,81,에스케이 하이닉스
해외사업환산손익주26,81,해외 사업 환산 손익
종속기업및관계기업투자자산,81,종속 기업 관계 투자 자산
장기투자증권평가이익,81,장기 투자 증권 평가 이익
미래에셋증권주식회사,81,미래에셋증권 주식회사
평가처분손익당기손익,81,평가 처분 손익 당기
회계정책변동효과,81,회계 정책 변동 효과
신한비스킷제일차주식회사,81,신한비스킷제일차 주식회사
재고자산평가및폐기손실,81,재고 자산 평가 폐기 손실
지배기업지분보통주순이익,81,지배 기업 지분 보통주 순이익
장기공사미수금,81,장기 공사 미수금
신증설,80,증설
지분증권및채무증권,80,지분 증권 채무
만기보장수익률,80,만기 보장 수익
합계비유동,80,합계 유동
당기손익반영,80,당기 손익 반영
기타변동공정가치측정자산,80,기타 변동 공정 가치 측정 자산
대분류,80,분류
뉴스타제이에이치센터,80,뉴스타제이에이치 센터
기타현금흐름,80,기타 현금 흐름
금리확정형,80,금리 확정
비관측변수,80,관측 변수
당기손익인식금융부채합계,80,당기 손익 인식 금융 부채 합계
유동금융기관예치금,80,유동 금융 기관 예치금
종속기업투자자산손상차손,80,종속 기업 투자 자산 손상
초고속인터넷,80,고속 인터넷
당좌대출한도,80,당좌 대출 한도
관련수익비용,80,관련 수익 비용
유동상각후원가측정금융부채,80,유동 상각 원가 측정 금융 부채
비유동상각후원가측정금융부채,80,유동 상각 원가 측정 금융 부채
여행플러스주식회사,80,여행 플러스 주식회사
단기매출채권,80,단기 매출 채권
부채총계B,80,부채 총계
자본총계C,80,자본 총계
장기차입금이자율,80,장기 차입금 이자
협회비판관비,80,협회 비판
제182회무보증사채,80,보증 사채
콘텐츠웨이브주식회사,80,콘텐츠 웨이브 주식회사
SK텔레콤주,80,SK텔레콤
차감계장기차입금,80,장기 차입금
HanHoH2PtyLtd,80,HanHoH PtyLtd
설정최고액,80,설정 최고액
특수관계,80,특수 관계
기준주식,80,기준 주식
재보험계약자산부채,80,보험 계약 자산 부채
리사이클링1호신기술투자조합,80,리사이클링 기술 투자 조합
ETF선물,80,ETF 선물
매입채무및기타채무종업원급여,80,매입채무 기타 채무 종업원 급여
유틸리티비판관비,80,유틸리티 판관
시장변수상승시세전손익감소,80,시장 변수 상승 세전 손익 감소
시장변수하락시세전손익증가,80,시장 변수 하락 세전 손익 증가
홍원학,80,
임차보증금특수관계자거래,80,임차 보증금 특수 관계자 거래
운전자본조정소계,80,운전 자본 조정
조정내역계,80,조정 내역
공정가치변동액,80,공정 가치 변동
보험계약마진이자비용,80,보험 계약 마진 이자 비용
보험계약마진이자수익,80,보험 계약 마진 이자 수익
보험취득현금흐름경험조정,80,보험 취득 현금 흐름 경험 조정
연결대상수익증권,80,연결 대상 수익 증권
당기말보험계약마진잔액,80,당기 보험 계약 마진 잔액
기타약정,80,기타 약정
일반기업,80,일반 기업
기술전략실,80,기술 전략실
제4회사모전환사채,80,사모 전환 사채
KB증권및KDB산업은행,80,KB 증권 KDB 산업은행
당기손익공정가치,80,당기 손익 공정 가치
기타포괄손익공정가치,80,기타 포괄 손익 공정 가치
방산기술혁신일반사모투자신탁,80,방산 기술 혁신 일반 사모 투자 신탁
상품판매,80,상품 판매
파생상품거래이익손실,80,파생 상품 거래 이익 손실
투명경영위원회,80,투명 경영 위원회
매출및기타수익특수관계자거래,80,매출 기타 수익 특수 관계자 거래
매입및기타비용특수관계자거래,80,매입 기타 비용 특수 관계자 거래
레일솔루션부문,80,레일 솔루션 부문
진흥기업주,80,진흥기업
장기공사유보금총액,80,장기 공사 유보 총액
유동임대보증금,79,유동 임대 보증금
파생상품부채통화선도,79,파생 상품 부채 통화 선도
가중치,79,가중
연결실체내자본거래등,79,연결 실체 자본 거래
보통주반기순이익,79,보통주 반기 순이익
기타서비스,79,기타 서비스
보험료적립금,79,보험료 적립금
연체채권비율,79,연체 채권 비율
기업대출약정,79,기업 대출 약정
회장후보추천위원회,79,회장 후보 추천 위원회
할인효과,79,할인 효과
감가상각비상계,79,감가상각비 상계
중단영업법인세비용,79,중단 영업 법인세 비용
잔여보상원가,79,잔여 보상 원가
유형자산취득미지급금,79,유형 자산 취득 지급금
상여성충당부채,79,여성 충당 부채
기타금융부채주1,79,기타 금융 부채
온실가스배출량tCO2eq,79,온실가스 배출량 tCO eq
현대아이티씨,79,현대아이티
대규모기업집단계열회사3,79,규모 기업 집단 계열 회사
우발부채합계,79,우발 부채 합계
주식발행비용,79,주식 발행 비용
금전신탁소계,79,금전 신탁
매도주가연계증권,79,매도 주가 연계 증권
수익인식액,79,수익 인식
XIV보험계약자산,79,XIV 보험 계약 자산
XV재보험계약자산,79,XV 보험 계약 자산
반환제품회수권,79,반환 제품 회수
삼성화재서비스손해사정,79,삼성화재 서비스 손해 사정
수출제비용,79,수출 비용
정부공공기관중앙은행,79,정부 공공 기관 중앙은행
통화선도평가이익,79,통화 선도 평가 이익
외상매입금,79,외상 매입
원화유가증권,79,원화 유가 증권
기타장단기금융부채,79,기타 단기 금융 부채
주요업무,79,주요 업무
CDGBNS136LLC,79,CDGBNS LLC
CDGMRP136LLC,79,CDGMRP LLC
WPL10SolarLLC,79,WPL SolarLLC
WPL4SolarLLC,79,WPL SolarLLC
신안우이해상풍력주식회사,79,신안우이 해상 풍력 주식회사
공사및분양선수금,79,공사 분양 선수금
기타자본구성요소합계,78,기타 자본 구성 요소 합계
외화일반대출,78,외화 일반 대출
