part,part_df,n_owner,owner_max_df,share,vs_owner
카페,439,1,0,0.0026,0.0
민경,438,1,29,0.0026,15.1
지방채,437,3,77,0.0025,5.68
CKD,435,3,142,0.0025,3.06
렌터카,435,1,0,0.0025,0.0
청소년,435,1,132,0.0025,3.3
삼우,434,1,0,0.0025,0.0
두산건설,433,1,0,0.0025,0.0
스타쉽,431,1,431,0.0025,1.0
로고,430,1,0,0.0025,0.0
알선,428,1,165,0.0025,2.59
동경,427,2,56,0.0025,7.62
사학,426,1,0,0.0025,0.0
조영,426,4,35,0.0025,12.17
강수,425,1,74,0.0025,5.74
초이스,425,1,0,0.0025,0.0
한화글로벌에셋,425,2,1,0.0025,425.0
배전반,424,1,0,0.0025,0.0
올리브,424,1,0,0.0025,0.0
Active,423,1,24,0.0025,17.62
두산타워,423,1,0,0.0025,0.0
육아,423,7,4,0.0025,105.75
뉴질랜드,422,2,70,0.0025,6.03
사무국,422,1,207,0.0025,2.04
알림,422,2,25,0.0025,16.88
에스팀,422,1,170,0.0025,2.48
성훈,421,1,40,0.0025,10.53
코카콜라,421,1,0,0.0025,0.0
투융자,421,3,193,0.0025,2.18
우리금융에프앤아이,419,1,150,0.0024,2.79
최정,419,3,104,0.0024,4.03
케이더블유,419,1,266,0.0024,1.58
조사비,418,1,0,0.0024,0.0
문화사,417,1,361,0.0024,1.16
평가전,416,1,135,0.0024,3.08
거래선,415,1,0,0.0024,0.0
삼성이앤에이,413,1,0,0.0024,0.0
에스엘티,413,1,52,0.0024,7.94
엘지디스플레이,413,2,13,0.0024,31.77
학력,413,1,25,0.0024,16.52
시차,412,1,0,0.0024,0.0
엠에이,412,2,0,0.0024,0.0
진흥기업,412,3,0,0.0024,0.0
램프,410,1,0,0.0024,0.0
신공항하이웨이,410,2,0,0.0024,0.0
귀금속,408,1,0,0.0024,0.0
일자리,407,1,0,0.0024,0.0
이글스,406,1,0,0.0024,0.0
포상,406,3,112,0.0024,3.62
해비치,406,2,197,0.0024,2.06
CDO,404,2,32,0.0024,12.62
공평,404,1,43,0.0024,9.4
라이온하트,403,1,400,0.0023,1.01
광교,402,1,0,0.0023,0.0
양방향,402,1,0,0.0023,0.0
트레인,402,1,357,0.0023,1.13
스킨,400,1,0,0.0023,0.0
현대오일뱅크,400,1,0,0.0023,0.0
종금,399,1,38,0.0023,10.5
MVNO,398,1,0,0.0023,0.0
리치,398,4,0,0.0023,0.0
재훈,398,1,186,0.0023,2.14
현대그린파워,398,1,0,0.0023,0.0
환급액,398,5,131,0.0023,3.04
두나무,397,1,0,0.0023,0.0
재일,397,1,138,0.0023,2.88
컨버전스,396,1,0,0.0023,0.0
한화자산운용,395,1,0,0.0023,0.0
브라이언,394,1,358,0.0023,1.1
쇼핑몰,394,1,51,0.0023,7.73
신청인,392,2,226,0.0023,1.73
엘앤에스,391,1,0,0.0023,0.0
송산,390,1,0,0.0023,0.0
아이스,389,3,54,0.0023,7.2
콘도,389,1,85,0.0023,4.58
휴직,389,6,4,0.0023,97.25
NH농협은행,388,3,0,0.0023,0.0
CJ제일제당,386,1,69,0.0022,5.59
내비게이션,386,1,0,0.0022,0.0
닥터,386,4,24,0.0022,16.08
에이치디씨,386,1,0,0.0022,0.0
BF,385,1,53,0.0022,7.26
인텔리전스,384,1,6,0.0022,64.0
실버,383,1,70,0.0022,5.47
표지,383,1,102,0.0022,3.75
HTS,382,1,33,0.0022,11.58
영업양도,382,1,0,0.0022,0.0
GIC,381,1,0,0.0022,0.0
XIII,381,6,0,0.0022,0.0
차선,381,1,25,0.0022,15.24
보령,380,1,0,0.0022,0.0
부시,380,1,0,0.0022,0.0
삼성엔지니어링,379,1,52,0.0022,7.29
청약자,379,1,46,0.0022,8.24
한국스탠다드차타드,378,1,377,0.0022,1.0
삼성에스디아이,376,1,0,0.0022,0.0
프랜차이즈,376,1,0,0.0022,0.0
컴파운드,373,1,0,0.0022,0.0
Beauty,372,1,0,0.0022,0.0
미스틱,372,1,372,0.0022,1.0
박수,372,1,65,0.0022,5.72
촉매,372,1,0,0.0022,0.0
충성,370,1,180,0.0022,2.06
호텔신라,370,1,0,0.0022,0.0
엘지전자,369,1,0,0.0022,0.0
준거,369,1,0,0.0022,0.0
CDS,368,1,0,0.0021,0.0
TWD,368,1,0,0.0021,0.0
로즈,367,1,169,0.0021,2.17
복귀,367,1,0,0.0021,0.0
이광,366,2,38,0.0021,9.63
이희,366,4,102,0.0021,3.59
XIV,365,4,0,0.0021,0.0
해태,364,1,0,0.0021,0.0
광대,363,1,106,0.0021,3.42
CMS,362,1,35,0.0021,10.34
맥쿼리,362,1,46,0.0021,7.87
BIDV,361,2,0,0.0021,0.0
부두,361,4,53,0.0021,6.81
한중,360,1,6,0.0021,60.0
SOHO,359,1,0,0.0021,0.0
임재,358,1,24,0.0021,14.92
취업,358,1,0,0.0021,0.0
가설,357,3,130,0.0021,2.75
한국항공우주산업,357,1,70,0.0021,5.1
모어,356,1,307,0.0021,1.16
실용신안,356,1,129,0.0021,2.76
타점,356,2,192,0.0021,1.85
김광,355,3,77,0.0021,4.61
직업,355,1,0,0.0021,0.0
스크린,354,1,0,0.0021,0.0
지아이비,352,1,0,0.0021,0.0
온산,351,2,126,0.002,2.79
하노이,351,1,34,0.002,10.32
인테리어,350,1,0,0.002,0.0
큐브광안피에프브이,350,1,0,0.002,0.0
모기지,347,4,12,0.002,28.92
ELW,346,3,0,0.002,0.0
김원,346,4,77,0.002,4.49
성준,346,1,23,0.002,15.04
염가,345,1,303,0.002,1.14
중앙회,345,1,129,0.002,2.67
KIS,344,1,27,0.002,12.74
부광약품,344,1,0,0.002,0.0
쏘스뮤직,344,1,5,0.002,68.8
UOB,343,1,77,0.002,4.45
마에스트로,343,7,0,0.002,0.0
삼성에스알에이,343,1,22,0.002,15.59
순전,343,3,322,0.002,1.07
서관,342,1,11,0.002,31.09
티맵모빌리티,342,1,8,0.002,42.75
LOC,341,1,0,0.002,0.0
종신,341,2,37,0.002,9.22
특종,341,1,119,0.002,2.87
Index,340,1,24,0.002,14.17
공무원,340,3,0,0.002,0.0
대선,340,1,36,0.002,9.44
보일러,340,1,0,0.002,0.0
선로,339,1,0,0.002,0.0
양도성예금증서,339,1,0,0.002,0.0
증명서,339,1,0,0.002,0.0
피플,339,1,2,0.002,169.5
야간,338,8,19,0.002,17.79
이규,338,3,128,0.002,2.64
ITO,337,1,52,0.002,6.48
친구,337,1,0,0.002,0.0
평창,337,2,0,0.002,0.0
김동관,336,1,0,0.002,0.0
서영,335,1,30,0.002,11.17
제일차유,335,1,0,0.002,0.0
직장인,335,2,42,0.002,7.98
대구동구복합개발1호,332,1,0,0.0019,0.0
소녀,332,2,246,0.0019,1.35
케이크,331,1,0,0.0019,0.0
호치민,331,1,0,0.0019,0.0
리버스,330,2,246,0.0019,1.34
버팀목,330,3,36,0.0019,9.17
논문,329,1,0,0.0019,0.0
캐쳐스,329,1,329,0.0019,1.0
해비치호텔앤드리조트,329,1,0,0.0019,0.0
제이차주식회사,328,1,16,0.0019,20.5
영입,327,1,5,0.0019,65.4
세메스,326,1,0,0.0019,0.0
태극,326,2,0,0.0019,0.0
김윤,325,4,63,0.0019,5.16
엘아이지넥스원,325,1,13,0.0019,25.0
초순,325,1,0,0.0019,0.0
MTS,323,1,33,0.0019,9.79
람다,323,1,0,0.0019,0.0
우리기술,323,1,0,0.0019,0.0
XV,322,3,0,0.0019,0.0
컴포넌트,322,1,0,0.0019,0.0
출퇴근,320,1,0,0.0019,0.0
커피,320,1,30,0.0019,10.67
클로브,319,1,54,0.0019,5.91
의상,318,1,37,0.0019,8.59
말미,317,1,177,0.0018,1.79
연강,317,2,157,0.0018,2.02
하나원큐,317,1,48,0.0018,6.6
실손,316,1,0,0.0018,0.0
지형,316,1,80,0.0018,3.95
오름,315,1,0,0.0018,0.0
ADAS,314,1,0,0.0018,0.0
여명,314,1,78,0.0018,4.03
발신,313,1,0,0.0018,0.0
엔화,313,1,26,0.0018,12.04
구형,309,3,155,0.0018,1.99
상용차,309,1,11,0.0018,28.09
서진,309,1,197,0.0018,1.57
엘지화학,309,1,0,0.0018,0.0
내규,308,1,29,0.0018,10.62
쿠폰,308,1,24,0.0018,12.83
리사이클링,307,1,141,0.0018,2.18
스크랩,307,2,121,0.0018,2.54
목재,306,1,19,0.0018,16.11
지준,306,2,301,0.0018,1.02
좌수,304,1,91,0.0018,3.34
천안시,303,1,0,0.0018,0.0
카카오그로스해킹펀드,302,1,0,0.0018,0.0
글링크미디어,301,1,0,0.0018,0.0
삼성선물,301,2,0,0.0018,0.0
선취,301,1,238,0.0018,1.26
인디아,301,1,0,0.0018,0.0
스톡옵션,300,2,11,0.0017,27.27
오리콤,300,1,0,0.0017,0.0
김홍,299,3,30,0.0017,9.97
원경,299,1,65,0.0017,4.6
환어음,299,2,0,0.0017,0.0
김연,297,3,56,0.0017,5.3
배달,297,1,0,0.0017,0.0
분담금,297,1,0,0.0017,0.0
지킴이,296,5,24,0.0017,12.33
FN,295,1,42,0.0017,7.02
동석,294,1,23,0.0017,12.78
제네시스북미파워,294,1,294,0.0017,1.0
김유,293,1,34,0.0017,8.62
보스턴,293,1,29,0.0017,10.1
조정호,293,1,0,0.0017,0.0
거액,292,1,0,0.0017,0.0
부자재,291,1,181,0.0017,1.61
상환액,291,2,50,0.0017,5.82
Scope,290,3,0,0.0017,0.0
에이앤디,290,3,270,0.0017,1.07
자양파이브피에프브이,289,1,0,0.0017,0.0
팀원,289,1,23,0.0017,12.57
에이치씨씨홀딩스,287,2,4,0.0017,71.75
예금보험공사,287,1,54,0.0017,5.31
텍사스,286,1,25,0.0017,11.44
대정,284,1,0,0.0017,0.0
신입,284,1,0,0.0017,0.0
이머징,284,1,24,0.0017,11.83
현대아이에프씨,284,1,0,0.0017,0.0
기원,283,1,24,0.0016,11.79
보류,283,1,129,0.0016,2.19
든든,282,2,0,0.0016,0.0
삼성전자판매,282,1,0,0.0016,0.0
XX,281,1,0,0.0016,0.0
오락,281,1,58,0.0016,4.84
원스토어,281,2,0,0.0016,0.0
솔리더스,280,1,0,0.0016,0.0
재혁,280,1,47,0.0016,5.96
메일,278,1,0,0.0016,0.0
보증료,277,2,25,0.0016,11.08
블럭,275,1,0,0.0016,0.0
스노우,275,1,0,0.0016,0.0
음식점,275,2,0,0.0016,0.0
휴면,275,3,158,0.0016,1.74
조력,274,1,5,0.0016,54.8
SHC,273,1,87,0.0016,3.14
프론트,273,1,0,0.0016,0.0
플라자,273,1,21,0.0016,13.0
학자금,273,1,36,0.0016,7.58
에프앤유,272,1,272,0.0016,1.0
철수,272,1,24,0.0016,11.33
신승,271,1,38,0.0016,7.13
엘에스일렉트릭,271,1,204,0.0016,1.33
햇살론,271,1,0,0.0016,0.0
송영,269,2,52,0.0016,5.17
카카오코파일럿,269,2,162,0.0016,1.66
프라자,269,1,20,0.0016,13.45
AJ,268,2,90,0.0016,2.98
군인,268,4,20,0.0016,13.4
소주,268,1,0,0.0016,0.0
신원,268,1,0,0.0016,0.0
민호,267,1,36,0.0016,7.42
에스티엠,267,1,14,0.0016,19.07
투유,267,1,186,0.0016,1.44
한국중부발전,267,1,0,0.0016,0.0
북스,266,2,266,0.0016,1.0
TEU,264,1,0,0.0015,0.0
금융결제원,264,1,35,0.0015,7.54
스팸,264,2,0,0.0015,0.0
원화유동성비율,264,1,0,0.0015,0.0
내주,261,1,0,0.0015,0.0
서북,261,1,0,0.0015,0.0
정국,261,1,77,0.0015,3.39
한미사이언스,261,1,41,0.0015,6.37
XVI,258,3,0,0.0015,0.0
주년,258,1,20,0.0015,12.9
로템에스알에스,257,1,0,0.0015,0.0
퀀텀,257,2,0,0.0015,0.0
내륙,256,1,0,0.0015,0.0
신안우이,255,1,35,0.0015,7.29
코스모스,253,1,56,0.0015,4.52
한국남동발전,253,1,10,0.0015,25.3
IRP,251,2,43,0.0015,5.84
오정,251,2,62,0.0015,4.05
코넥스,251,3,106,0.0015,2.37
축구단,250,1,0,0.0015,0.0
크레디,250,2,53,0.0015,4.72
무궁화,249,2,0,0.0015,0.0
삼성전자서비스,249,2,0,0.0015,0.0
유승,248,2,53,0.0014,4.68
의무자,248,1,15,0.0014,16.53
지엠디태우개발,248,1,0,0.0014,0.0
벙커,247,1,0,0.0014,0.0
권태,245,1,77,0.0014,3.18
유영,245,1,55,0.0014,4.45
효성하이드로젠,245,1,0,0.0014,0.0
정준,244,1,18,0.0014,13.56
기술료,243,3,91,0.0014,2.67
민정,243,1,24,0.0014,10.12
반포센트럴피에프브이,243,1,0,0.0014,0.0
부설,243,1,13,0.0014,18.69
현대아이티,243,1,243,0.0014,1.0
에이치제이,242,1,21,0.0014,11.52
지티엑스,242,1,172,0.0014,1.41
한국전력기술,242,2,99,0.0014,2.44
현대아이에스씨,242,1,0,0.0014,0.0
현대아이엠씨,242,1,0,0.0014,0.0
안영,241,1,41,0.0014,5.88
민트,240,1,139,0.0014,1.73
삼성메디슨,240,1,0,0.0014,0.0
에이치디현대오씨아이,239,1,0,0.0014,0.0
카스몽,239,1,108,0.0014,2.21
KRX,238,1,86,0.0014,2.77
내항,238,1,0,0.0014,0.0
문호,238,1,144,0.0014,1.65
배재,238,1,135,0.0014,1.76
양주시,238,1,11,0.0014,21.64
이철,238,1,20,0.0014,11.9
주주사,237,1,10,0.0014,23.7
피에스앤마케팅,237,1,0,0.0014,0.0
Weverse,236,1,0,0.0014,0.0
수리비,236,3,174,0.0014,1.36
출장소,236,1,0,0.0014,0.0
경산지식산업개발,234,1,0,0.0014,0.0
기타포괄재보험금융,234,1,234,0.0014,1.0
차상위,234,1,168,0.0014,1.39
갈매피에프브이,233,1,0,0.0014,0.0
상암,233,1,0,0.0014,0.0
직불,233,1,17,0.0014,13.71
한국토지주택공사,233,1,0,0.0014,0.0
할당량,233,1,107,0.0014,2.18
Match,232,1,0,0.0014,0.0
ELB,231,2,0,0.0013,0.0
JR,231,1,0,0.0013,0.0
김인,231,1,82,0.0013,2.82
동방,231,1,7,0.0013,33.0
배서,231,1,91,0.0013,2.54
위촉,229,1,13,0.0013,17.62
경호,227,1,24,0.0013,9.46
FRN,226,8,0,0.0013,0.0
세종특별자치,226,1,226,0.0013,1.0
SK텔링크,225,1,0,0.0013,0.0
오상,225,2,25,0.0013,9.0
하만,225,1,0,0.0013,0.0
한화케미칼오버시즈홀딩스,225,1,0,0.0013,0.0
DLS,224,1,0,0.0013,0.0
타이거즈,224,2,166,0.0013,1.35
부산은행,223,1,14,0.0013,15.93
유병,223,1,46,0.0013,4.85
천세,223,1,23,0.0013,9.7
홍대,223,1,98,0.0013,2.28
경락,222,1,21,0.0013,10.57
브레이크,222,1,0,0.0013,0.0
대조피에프브이,221,1,0,0.0013,0.0
택배,221,1,28,0.0013,7.89
하이패스,221,1,0,0.0013,0.0
환승,221,1,0,0.0013,0.0
당근,220,1,200,0.0013,1.1
저작물,220,1,10,0.0013,22.0
주간사,220,1,33,0.0013,6.67
부울경,219,1,219,0.0013,1.0
요주의,219,1,0,0.0013,0.0
경영인,217,1,42,0.0013,5.17
부원료,217,1,102,0.0013,2.13
전매,217,1,86,0.0013,2.52
헤리티지,217,1,13,0.0013,16.69
강호,216,1,108,0.0013,2.0
개인종합자산관리계좌,216,2,0,0.0013,0.0
다온종합건설,216,1,0,0.0013,0.0
잡비,216,2,0,0.0013,0.0
김포시,215,1,9,0.0013,23.89
강석,214,1,40,0.0012,5.35
오케이미트,214,1,0,0.0012,0.0
위로금,214,3,180,0.0012,1.19
정몽구,214,1,0,0.0012,0.0
SGI,213,2,96,0.0012,2.22
김일,213,1,73,0.0012,2.92
컨트리클럽,213,2,197,0.0012,1.08
충무로피에프브이,212,1,0,0.0012,0.0
석준,211,1,94,0.0012,2.24
증손,211,1,96,0.0012,2.2
포스코기술투자,211,1,0,0.0012,0.0
하나금융투자,211,2,0,0.0012,0.0
CRS,210,1,0,0.0012,0.0
NSSS,209,2,0,0.0012,0.0
김해대동스마트로지스틱스,209,1,0,0.0012,0.0
수입금,209,1,56,0.0012,3.73
스프링캠프,209,2,0,0.0012,0.0
한종,209,1,126,0.0012,1.66
새울,208,4,0,0.0012,0.0
용인기흥피에프브이,208,1,66,0.0012,3.15
이미테이션,208,2,208,0.0012,1.0
호라이즌,208,1,176,0.0012,1.18
Caa,207,1,16,0.0012,12.94
길림,207,1,180,0.0012,1.15
씨엔엠파트너스,207,1,0,0.0012,0.0
전문직,207,1,0,0.0012,0.0
다이나믹,205,1,0,0.0012,0.0
BHMC,204,1,0,0.0012,0.0
어원,204,1,89,0.0012,2.29
신라면세점,202,1,0,0.0012,0.0
Deutsche,201,1,0,0.0012,0.0
HDB,200,1,0,0.0012,0.0
리니지,200,1,110,0.0012,1.82
최승,200,1,23,0.0012,8.7
수중,199,1,26,0.0012,7.65
오성파워오엔엠,198,1,0,0.0012,0.0
전정,198,1,23,0.0012,8.61
한국결제네트웍스,197,1,0,0.0011,0.0
박순,196,1,140,0.0011,1.4
유명,196,1,64,0.0011,3.06
대훈파트너스,195,1,0,0.0011,0.0
물류비,195,3,52,0.0011,3.75
성수동,195,1,19,0.0011,10.26
티케이빌드,195,1,0,0.0011,0.0
화이트,195,1,0,0.0011,0.0
박명,194,2,69,0.0011,2.81
효성티앤씨,194,2,0,0.0011,0.0
대산이엔지,193,1,0,0.0011,0.0
포천화도고속도로,193,1,0,0.0011,0.0
도쿄,192,1,31,0.0011,6.19
쉴더스,192,1,169,0.0011,1.14
천마산터널,192,1,0,0.0011,0.0
LG이노텍,191,1,9,0.0011,21.22
공구강,191,1,0,0.0011,0.0
넥스트브이시티피에프브이,191,1,0,0.0011,0.0
순천에코그린,191,1,8,0.0011,23.88
안성성은물류피에프브이,191,1,0,0.0011,0.0
김호,190,1,24,0.0011,7.92
공덕,189,2,0,0.0011,0.0
압출,189,1,23,0.0011,8.22
취급액,189,1,24,0.0011,7.88
코스피,189,1,0,0.0011,0.0
한국동서발전,189,1,0,0.0011,0.0
IBS,188,2,0,0.0011,0.0
메리츠엔에이치헬스케어,188,1,188,0.0011,1.0
미얀마은행,188,1,148,0.0011,1.27
스테코,188,1,0,0.0011,0.0
시드니,188,2,12,0.0011,15.67
출연금,188,3,48,0.0011,3.92
메리츠디에스,187,2,119,0.0011,1.57
잠식,187,1,110,0.0011,1.7
PBR,186,1,0,0.0011,0.0
해피이천제일차,185,2,0,0.0011,0.0
구리아이타워피에프브이,184,1,0,0.0011,0.0
금일,184,1,102,0.0011,1.8
에스유머티리얼스,184,1,0,0.0011,0.0
견본,183,2,110,0.0011,1.66
대우송도호텔,183,1,0,0.0011,0.0
망포역세권개발피에프브이,183,1,0,0.0011,0.0
원주시,183,1,9,0.0011,20.33
제십사차,183,1,19,0.0011,9.63
영섭,182,1,68,0.0011,2.68
조강,182,1,78,0.0011,2.33
한국남부발전,181,1,0,0.0011,0.0
한화에비에이션,181,1,0,0.0011,0.0
한화오션엔지니어링,181,1,0,0.0011,0.0
GSM,180,1,41,0.001,4.39
고북주민,180,1,3,0.001,60.0
마일리지,180,4,36,0.001,5.0
승용차,180,1,20,0.001,9.0
양양,180,1,19,0.001,9.47
가업,179,1,24,0.001,7.46
마음,179,1,20,0.001,8.95
삼해상사,179,1,0,0.001,0.0
케이아이청평피에프브이,179,1,0,0.001,0.0
덤핑,178,1,32,0.001,5.56
라이선싱,178,1,0,0.001,0.0
바이탈포레,178,1,0,0.001,0.0
허정,178,1,92,0.001,1.93
힉스,178,2,150,0.001,1.19
박윤,177,2,39,0.001,4.54
북경랑자,177,1,165,0.001,1.07
천장산,177,2,2,0.001,88.5
홈앤서비스,177,1,0,0.001,0.0
흥영산업개발주식회사,177,1,0,0.001,0.0
TWI,176,1,70,0.001,2.51
비엔나,176,1,169,0.001,1.04
신의도,176,2,4,0.001,44.0
에스케이엠앤서비스,176,1,0,0.001,0.0
작가,176,1,0,0.001,0.0
천일염,176,2,4,0.001,44.0
SBJ,175,1,145,0.001,1.21
강민,175,2,57,0.001,3.07
바닐라스튜디오,174,1,0,0.001,0.0
박승,174,1,47,0.001,3.7
고택,172,1,0,0.001,0.0
두산에이치투이노베이션,172,1,0,0.001,0.0
네오아이디티,171,1,0,0.001,0.0
SK커뮤니케이션즈,170,1,0,0.001,0.0
미숙,170,2,24,0.001,7.08
엠에이장현제일차,170,2,0,0.001,0.0
코람코경산물류피에프브이,170,1,0,0.001,0.0
아그리콜,169,2,53,0.001,3.19
안지,169,1,33,0.001,5.12
에스엘티뉴욕제일차,169,1,0,0.001,0.0
포스코필바라리튬솔루션,169,1,0,0.001,0.0
남궁,168,1,81,0.001,2.07
서창,168,1,64,0.001,2.62
숲엔터테인먼트,168,1,0,0.001,0.0
시약,168,2,25,0.001,6.72
아몬드,168,1,53,0.001,3.17
예대,168,1,0,0.001,0.0
상봉,167,1,103,0.001,1.62
색조,167,1,80,0.001,2.09
소방산업공제조합,167,1,61,0.001,2.74
XVII,166,3,0,0.001,0.0
모잠비크,166,1,0,0.001,0.0
최진,166,2,27,0.001,6.15
한국서부발전,166,1,0,0.001,0.0
QSUN,165,1,0,0.001,0.0
양현,165,1,59,0.001,2.8
명일,164,1,29,0.001,5.66
석영,164,1,137,0.001,1.2
정선,164,1,24,0.001,6.83
단자,163,1,81,0.001,2.01
어업,162,1,0,0.0009,0.0
영우,162,2,24,0.0009,6.75
엘엔지옵트로닉스,161,1,0,0.0009,0.0
흑동고래제일차,161,2,0,0.0009,0.0
변상,160,1,18,0.0009,8.89
유니온홀딩스,160,1,0,0.0009,0.0
지엠뉴욕제일차,160,1,0,0.0009,0.0
백동고래제일차,159,2,0,0.0009,0.0
보관료,159,2,83,0.0009,1.92
현대엔지비,159,1,0,0.0009,0.0
개정안,158,1,0,0.0009,0.0
명화,158,1,25,0.0009,6.32
세종스마트시티,158,1,0,0.0009,0.0
하남마블링시티개발,158,1,0,0.0009,0.0
현대아이이,158,1,158,0.0009,1.0
황인,158,1,22,0.0009,7.18
동문,157,1,145,0.0009,1.08
두산산업차량,157,1,7,0.0009,22.43
등가,157,2,82,0.0009,1.91
엠에이동탄제일차,157,2,0,0.0009,0.0
영암큐파워솔라팜1호,157,1,3,0.0009,52.33
용산주택개발제일차,157,2,0,0.0009,0.0
원석,157,1,64,0.0009,2.45
장미,157,1,20,0.0009,7.85
비컨홀딩스,156,1,4,0.0009,39.0
엠에스아이디제칠차,156,2,0,0.0009,0.0
유언,156,1,137,0.0009,1.14
을지트윈타워,156,1,11,0.0009,14.18
정문,156,1,27,0.0009,5.78
남경,155,1,14,0.0009,11.07
실트론,155,1,155,0.0009,1.0
유니콘투자조합,155,1,0,0.0009,0.0
최경,155,1,28,0.0009,5.54
카나리아,155,2,0,0.0009,0.0
MSF,154,1,0,0.0009,0.0
RST,154,1,0,0.0009,0.0
그래스랜즈제이차,154,1,0,0.0009,0.0
둔촌주공,154,1,17,0.0009,9.06
아세안,154,1,3,0.0009,51.33
위기관리,154,1,33,0.0009,4.67
태백,154,2,0,0.0009,0.0
국물,153,1,9,0.0009,17.0
페타,152,1,0,0.0009,0.0
CLS,151,1,0,0.0009,0.0
Refreshment,150,1,0,0.0009,0.0
김신,150,1,81,0.0009,1.85
송도국제도시,150,1,6,0.0009,25.0
엠에스전주제이차,150,2,31,0.0009,4.84
김제,149,1,29,0.0009,5.14
로즈힐스제일차,149,1,0,0.0009,0.0
산곡,149,1,93,0.0009,1.6
세훈,149,1,37,0.0009,4.03
신한타임,149,1,0,0.0009,0.0
진흥회,149,1,115,0.0009,1.3
홍진,149,1,85,0.0009,1.75
김화,148,2,54,0.0009,2.74
노정,148,1,113,0.0009,1.31
수원지방법원,148,1,9,0.0009,16.44
워런트,148,1,0,0.0009,0.0
DCS,147,1,0,0.0009,0.0
김효,147,2,24,0.0009,6.12
로고스필름,146,1,0,0.0009,0.0
씨제이엠디원,146,1,0,0.0009,0.0
용인클린워터,146,1,2,0.0009,73.0
두산로지스틱스솔루션,145,1,0,0.0008,0.0
에스코어,145,1,0,0.0008,0.0
침매,145,1,0,0.0008,0.0
홍범,145,1,24,0.0008,6.04
CTP,143,2,0,0.0008,0.0
굴업풍력개발,143,1,0,0.0008,0.0
부식,143,1,20,0.0008,7.15
효성벤처스,143,1,0,0.0008,0.0
DLB,142,1,0,0.0008,0.0
Yanbu,142,1,0,0.0008,0.0
고흥큐파워솔라팜1호,142,1,0,0.0008,0.0
미소,142,1,24,0.0008,5.92
블루월넛,142,1,0,0.0008,0.0
신광교테라제일차,142,1,0,0.0008,0.0
전북현대모터스에프씨,142,1,0,0.0008,0.0
추진비,142,2,39,0.0008,3.64
SGC,141,4,0,0.0008,0.0
에이치에이엠홀딩스,141,1,3,0.0008,47.0
제이에이치더블제일차,141,1,45,0.0008,3.13
라오스,140,1,0,0.0008,0.0
부산이디씨피에프브이,140,1,0,0.0008,0.0
Nego,139,1,42,0.0008,3.31
RENDE,139,1,0,0.0008,0.0
백업,139,1,53,0.0008,2.62
이환,139,1,88,0.0008,1.58
마인드스탠스,138,1,0,0.0008,0.0
신라에이치엠,138,1,0,0.0008,0.0
정윤,138,1,48,0.0008,2.88
광야,137,1,0,0.0008,0.0
레아,137,1,49,0.0008,2.8
UFJ,136,1,31,0.0008,4.39
그랜드제오차,136,1,0,0.0008,0.0
그린파워제오차,136,1,0,0.0008,0.0
씨제이씨지브이,136,1,0,0.0008,0.0
에이아이에스독일제일차,136,1,0,0.0008,0.0
BSK,135,2,0,0.0008,0.0
더테이스터블,135,1,2,0.0008,67.5
절상,135,1,70,0.0008,1.93
클로버,135,2,112,0.0008,1.21
마운트시티스케이프,134,1,0,0.0008,0.0
수원삼성,134,1,0,0.0008,0.0
에스원씨알엠,134,1,0,0.0008,0.0
오픈핸즈,134,1,0,0.0008,0.0
유니온미디어앤,134,1,134,0.0008,1.0
제로원,134,2,24,0.0008,5.58
조정후,134,1,0,0.0008,0.0
지급인,134,1,35,0.0008,3.83
대열,133,1,123,0.0008,1.08
선생,133,1,0,0.0008,0.0
크로스픽쳐스,133,1,0,0.0008,0.0
파리바카디프생명,133,1,5,0.0008,26.6
Jawa,132,1,0,0.0008,0.0
PSD,132,1,0,0.0008,0.0
권혁,132,2,60,0.0008,2.2
디자인프레스,132,1,0,0.0008,0.0
송원,132,3,75,0.0008,1.76
케이디엑스,132,1,0,0.0008,0.0
박석,131,1,60,0.0008,2.18
씨제이올리브네트웍스,131,1,0,0.0008,0.0
야외,131,1,0,0.0008,0.0
경동,130,1,0,0.0008,0.0
권리자,130,1,15,0.0008,8.67
부산항,130,1,0,0.0008,0.0
장승,130,1,73,0.0008,1.78
냉방,129,1,12,0.0008,10.75
대납,129,1,0,0.0008,0.0
온라인팜,129,1,0,0.0008,0.0
이순,129,1,61,0.0008,2.11
티에스알와이일차,129,1,0,0.0008,0.0
WPL,128,2,0,0.0007,0.0
광주농성제일차,128,1,0,0.0007,0.0
당산동,128,1,70,0.0007,1.83
에스코퍼제일차,128,1,0,0.0007,0.0
강윤,127,2,83,0.0007,1.53
매각손,127,1,0,0.0007,0.0
상암동,127,1,0,0.0007,0.0
시험장,127,1,0,0.0007,0.0
정찬,127,2,90,0.0007,1.41
제이온프라임,127,1,45,0.0007,2.82
프로젝트가산피에프브이,127,1,0,0.0007,0.0
서림,126,2,106,0.0007,1.19
에이치엠엠오션서비스,126,1,0,0.0007,0.0
돈돈팜,125,1,0,0.0007,0.0
스타드블루제칠차,125,1,45,0.0007,2.78
인포메이션,125,1,36,0.0007,3.47
케이이이제일차,125,2,6,0.0007,20.83
남정,122,1,24,0.0007,5.08
오케아노스,122,1,111,0.0007,1.1
울산하버브릿지,122,1,0,0.0007,0.0
BKPL,121,1,0,0.0007,0.0
Coporation,121,2,0,0.0007,0.0
