part,part_df,n_owner,owner_max_df,share,vs_owner
리서치,1789,5,485,0.0104,3.69
중개업,1786,1,914,0.0104,1.95
관리자,1780,2,694,0.0104,2.56
선순위,1777,6,8,0.0104,222.12
SW,1775,3,34,0.0103,52.21
KG,1771,2,93,0.0103,19.04
뉴욕,1757,8,46,0.0102,38.2
위주,1753,13,0,0.0102,0.0
폐기물,1753,5,216,0.0102,8.12
ICT,1749,1,34,0.0102,51.44
여주,1749,1,17,0.0102,102.88
교통비,1747,3,1714,0.0102,1.02
삼성물산,1746,3,165,0.0102,10.58
티비,1746,1,0,0.0102,0.0
판결,1745,1,38,0.0102,45.92
음악,1743,7,196,0.0102,8.89
멕시코,1737,3,91,0.0101,19.09
고등,1735,1,0,0.0101,0.0
간부,1734,1,0,0.0101,0.0
임대료,1734,6,563,0.0101,3.08
이스트,1727,1,207,0.0101,8.34
아산,1716,2,85,0.01,20.19
최장,1716,1,361,0.01,4.75
크레딧,1716,1,77,0.01,22.29
차기,1715,5,391,0.01,4.39
원자력,1711,1,101,0.01,16.94
배부,1710,1,0,0.01,0.0
고객사,1702,4,1,0.0099,1702.0
확약,1693,9,675,0.0099,2.51
수상,1690,1,38,0.0099,44.47
거시,1687,2,14,0.0098,120.5
토목,1685,3,109,0.0098,15.46
현대모비스,1681,1,81,0.0098,20.75
AUD,1678,2,0,0.0098,0.0
피소,1678,1,0,0.0098,0.0
GT,1674,1,5,0.0098,334.8
에스케이,1672,2,29,0.0097,57.66
단말,1667,4,0,0.0097,0.0
금리부,1666,10,78,0.0097,21.36
정현,1666,1,20,0.0097,83.3
스카이,1664,1,0,0.0097,0.0
부당,1661,1,323,0.0097,5.14
책임자,1661,1,0,0.0097,0.0
고속도로,1660,1,0,0.0097,0.0
퍼스트,1658,4,0,0.0097,0.0
교보,1657,1,0,0.0097,0.0
SL,1656,1,96,0.0097,17.25
정형,1654,1,36,0.0096,45.94
SK텔레콤,1653,1,42,0.0096,39.36
라이선스,1651,2,139,0.0096,11.88
현대건설,1650,1,121,0.0096,13.64
브라질,1645,3,98,0.0096,16.79
부담액,1644,4,888,0.0096,1.85
한강,1639,1,116,0.0096,14.13
하이브,1631,1,0,0.0095,0.0
의제,1628,1,33,0.0095,49.33
터미널,1622,4,129,0.0095,12.57
조세,1620,2,58,0.0094,27.93
종목,1620,1,135,0.0094,12.0
청주,1620,2,45,0.0094,36.0
중구,1619,1,0,0.0094,0.0
우주,1617,4,853,0.0094,1.9
가입자,1616,1,171,0.0094,9.45
의문,1615,2,159,0.0094,10.16
AH,1609,2,72,0.0094,22.35
관세,1607,2,56,0.0094,28.7
투기,1605,1,95,0.0094,16.89
출연,1604,2,86,0.0093,18.65
BBB,1602,1,0,0.0093,0.0
CJ,1601,1,33,0.0093,48.52
농협은행,1596,1,25,0.0093,63.84
한국투자증권,1595,1,0,0.0093,0.0
항만,1595,3,35,0.0093,45.57
에이치디,1592,2,13,0.0093,122.46
이재,1589,2,61,0.0093,26.05
외상,1584,10,466,0.0092,3.4
머니,1583,4,777,0.0092,2.04
엘지,1583,1,13,0.0092,121.77
부수,1581,1,36,0.0092,43.92
물가,1572,1,0,0.0092,0.0
승계,1569,4,24,0.0091,65.38
양호,1569,2,25,0.0091,62.76
임상,1568,1,54,0.0091,29.04
삼성카드,1564,4,264,0.0091,5.92
