순위,term,freq,parts
160,장부금액합계,2502,장부 금액 합계
161,현금및예치금,2494,현금 예치금
162,기타유동금융부채,2483,기타 유동 금융 부채
163,지배기업,2475,지배 기업
164,매출총이익,2464,매출 이익
165,지배기업소유주지분,2459,지배 기업 소유주 지분
166,통화스왑,2448,통화 스왑
167,금융자산공정가치,2439,금융 자산 공정 가치
168,기타자본구성요소,2413,기타 자본 구성 요소
169,영업권,2388,영업
170,잡이익,2387,이익
171,장기대여금,2379,장기 대여금
172,지분증권,2376,지분 증권
173,분기순이익,2375,분기 순이익
174,신종자본증권,2362,신종 자본 증권
175,무형자산손상차손,2359,무형 자산 손상
176,계약부채,2352,계약 부채
177,위원회명,2346,위원회
178,파생상품,2346,파생 상품
179,세금과공과,2319,세금 공과
180,선급비용,2295,비용
181,무형자산처분이익,2259,무형 자산 처분 이익
182,KB캐피탈,2247,KB 캐피탈
183,유동리스부채,2240,유동 리스 부채
184,단기대여금,2216,단기 대여금
185,상각후원가측정금융부채,2200,상각 원가 측정 금융 부채
186,영업수익,2180,영업 수익
187,법인세비용수익,2173,법인세 비용 수익
188,수수료수익,2138,수수료 수익
189,금융원가,2131,금융 원가
190,주식보상비용,2122,주식 보상 비용
191,기초장부금액,2103,기초 장부 금액
192,사채할인발행차금,2101,사채 할인 발행 차금
193,담당상근,2099,담당 상근
194,기타채무,2052,기타 채무
195,손상차손,2016,손상
196,주식수,1985,주식
197,상장여부,1980,상장 여부
198,여비교통비,1979,여비 교통비
199,액면금액,1965,액면 금액
200,삼성중공업주,1956,삼성중공업
201,파생상품거래이익,1925,파생 상품 거래 이익
202,보험서비스결과,1891,보험 서비스 결과
203,당기법인세부채,1876,당기 법인세 부채
204,기업어음증권,1873,기업 어음 증권
205,차입금이자율,1870,차입금 이자
206,상각후원가측정유가증권,1870,상각 원가 측정 유가 증권
207,법인명,1869,법인
208,파생상품거래손실,1843,파생 상품 거래 손실
209,종업원급여,1819,종업원 급여
210,발행회사,1819,발행 회사
211,평균잔액,1801,평균 잔액
212,대표이사,1776,대표 이사
213,유형자산손상차손,1774,유형 자산 손상
214,부서팀명,1762,부서
215,기타사항,1762,기타 사항
216,금융부채공정가치,1756,금융 부채 공정 가치
217,사용권자산감가상각비,1740,사용 자산 감가상각비
218,비상장주식,1737,상장 주식
219,부채비율,1729,부채 비율
220,사외이사,1726,사외 이사
221,대손상각비환입,1725,대손 상각
222,금융리스채권,1712,금융리스 채권
223,기말장부금액,1701,기말 장부 금액
224,이자율스왑,1699,이자 스왑
225,당기법인세자산,1699,당기 법인세 자산
226,금융자산합계,1698,금융 자산 합계
227,유동성장기차입금,1696,유동 장기 차입금
228,기타자본잉여금,1688,기타 자본 잉여금
229,부채와자본총계,1681,부채 자본 총계
230,유상증자,1681,유상 증자
231,삼성이앤에이주,1677,삼성이앤에이
232,기타이익,1675,기타 이익
233,상위범위,1667,상위 범위
234,합계구간,1666,합계 구간
235,수익증권,1665,수익 증권
236,기타수취채권,1665,기타 수취 채권
237,기본주당이익,1662,기본 이익
238,법인세효과,1647,법인세 효과
239,기업전체총계,1645,기업 전체 총계
240,산업재산권,1636,산업 재산
241,임의적립금,1621,임의 적립금
242,소제기일,1616,소제 기일
243,연결범위변동,1609,연결 범위 변동
244,연차배당,1603,연차 배당
245,약정금액,1599,약정 금액
246,금융부채합계,1594,금융 부채 합계
247,삼성에스디아이주,1577,삼성에스디아이
248,관계기업및공동기업,1573,관계 기업 공동 기업
249,본점소재지,1570,본점 소재지
250,소송당사자,1569,소송 당사자
251,반제품,1569,제품
252,사용용도,1567,사용 용도
253,연결감사보고서,1550,연결 감사 보고서
254,영업외손익,1550,영업 손익
255,반기말,1524,기말
256,재고자산평가손실,1520,재고 자산 평가 손실
257,기말잔액,1509,기말 잔액
258,금융부채범주,1500,금융 부채 범주
259,현금흐름,1500,현금 흐름
260,자본조정,1497,자본 조정
261,사용권자산상각비,1495,사용 자산 상각
262,선수수익,1482,선수 수익
263,유가증권,1478,유가 증권
264,주식기준보상,1477,주식 기준 보상
265,기초유형자산,1474,기초 유형 자산
266,진행상황,1474,진행 상황
267,영업부문,1473,영업 부문
268,보험수익,1471,보험 수익
269,보험취득현금흐름,1468,보험 취득 현금 흐름
270,재무활동현금흐름,1467,재무 활동 현금 흐름
271,기초잔액,1466,기초 잔액
272,기타손실,1465,기타 손실
273,기말유형자산,1462,기말 유형 자산
274,12개월기대신용손실,1461,개월 기대 신용 손실
275,거래상대방,1453,거래 상대방
276,외환차이,1453,외환 차이
277,기타충당부채,1449,기타 충당 부채
278,향후소송일정및대응방안,1444,향후 소송 일정 대응 방안
279,감가상각비유형자산,1442,감가상각비 유형 자산
280,매출채권처분손실,1439,매출 채권 처분 손실
281,기초현금및현금성자산,1429,기초 현금 현금 자산
282,영업활동현금흐름,1428,영업 활동 현금 흐름
283,현재가치할인차금,1426,현재 가치 할인 차금
284,교육일자,1415,교육 일자
285,유동성사채,1411,유동 사채
286,공정가치,1401,공정 가치
287,기초금융자산,1385,기초 금융 자산
288,수수료비용,1384,수수료 비용
289,기업명,1378,기업
290,충당금적립액,1368,충당금 적립
291,기타증감,1363,기타 증감
292,소송가액,1360,소송 가액
293,기말금융자산,1359,기말 금융 자산
294,경험조정,1319,경험 조정
295,재고자산평가손실환입,1311,재고 자산 평가 손실
296,손상미인식,1310,손상 인식
297,투자활동현금흐름,1299,투자 활동 현금 흐름
298,원리금지급의무,1298,원리금 지급 의무
299,적립율,1296,적립
300,보험계약부채,1294,보험 계약 부채
